ID,cins,yas,Medenidurum,Egtmdurumu,gorevsure,gorevg,TOZT1,TOZT2,TOZT3,TOZT4_cev,TOZT5_cev,TODT1,TODT2,TODT3,TODT4,TODT5,TODT6,TOFT1,TOFT2,TOFT3,TOFT4,TOFT5,TOFT6_cev,TOFT7,ODD1,ODD2,ODD3_cev,ODD4,ODD5_cev,ODD6,ODD7_cev,ODD8,Tuken,Tuken_Zihin,Tuken_Duyg,Tuken_Fizik,OrgDest
1,1 Erkek,25,1 Bekar,"4 Üniversite ",3,3 Hemşire,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,2,4,4,4,5,4,2,4,5,1.2777777777777777,1,1,1.7142857142857142,4
2,2 Kadın,24,1 Bekar,"4 Üniversite ",1,2 Hasta hizmetleri,3,3,3,1,1,3,2,1,1,2,3,1,1,1,3,3,1,4,3,4,4,4,4,4,4,4,2.0555555555555554,2.2,2,2,3.875
3,1 Erkek,33,1 Bekar,"4 Üniversite ",0.5,1 Biyolog,2,1,1,2,2,2,1,1,1,2,2,1,1,1,2,1,2,1,4,4,4,5,5,4,5,5,1.4444444444444444,1.6,1.5,1.2857142857142858,4.5
4,2 Kadın,24,1 Bekar,"4 Üniversite ",1,1 Biyolog,4,1,1,4,4,3,1,1,3,2,2,1,1,1,4,3,3,3,4,4,3,4,4,4,4,4,2.3333333333333335,2.8,2,2.2857142857142856,3.875
5,2 Kadın,30,2 Evli,"4 Üniversite ",4,1 Biyolog,2,1,1,2,2,3,1,1,1,3,2,3,2,3,4,3,2,3,4,4,3,5,4,4,5,5,2.1666666666666665,1.6,1.8333333333333333,2.857142857142857,4.25
6,2 Kadın,24,1 Bekar,"4 Üniversite ",3,3 Hemşire,4,3,4,4,1,2,3,3,4,2,2,3,2,2,2,2,3,4,1,2,4,3,3,3,5,1,2.7777777777777777,3.2,2.6666666666666665,2.5714285714285716,2.75
7,2 Kadın,28,2 Evli,"4 Üniversite ",5,3 Hemşire,3,1,1,3,2,3,3,1,2,2,4,1,1,2,2,3,2,2,3,3,2,4,4,3,5,4,2.111111111111111,2,2.5,1.8571428571428572,3.5
8,1 Erkek,28,1 Bekar,"4 Üniversite ",5,3 Hemşire,3,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,5,5,5,5,1,1,5,1.3333333333333333,1.4,1,1.5714285714285714,3.5
9,2 Kadın,24,1 Bekar,"4 Üniversite ",4,3 Hemşire,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,3,2,4,2,4,2,4,2,2.9444444444444446,2.8,3,3,2.875
10,2 Kadın,20,1 Bekar,"4 Üniversite ",1,3 Hemşire,2,1,1,3,2,3,1,1,3,3,2,3,3,4,3,4,3,3,3,2,2,3,3,2,4,3,2.5,1.8,2.1666666666666665,3.2857142857142856,2.75
11,2 Kadın,20,1 Bekar,3 Lise,3,3 Hemşire,3,4,3,2,2,3,1,2,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,2.888888888888889,2.8,2.5,3.2857142857142856,3
12,2 Kadın,42,2 Evli,"4 Üniversite ",15,1 Biyolog,3,1,1,2,2,2,1,1,1,2,2,2,2,2,4,3,2,3,1,1,5,2,1,1,2,1,2,1.8,1.5,2.5714285714285716,1.75
13,2 Kadın,45,2 Evli,"4 Üniversite ",23,1 Biyolog,4,2,2,2,2,3,2,2,1,3,2,3,1,3,3,3,2,2,2,2,3,2,2,1,2,2,2.3333333333333335,2.4,2.1666666666666665,2.4285714285714284,2
14,2 Kadın,28,2 Evli,"4 Üniversite ",2,1 Biyolog,4,3,2,1,2,3,1,4,4,3,3,3,3,3,4,5,3,4,1,2,1,1,1,3,2,3,3.0555555555555554,2.4,3,3.5714285714285716,1.75
15,1 Erkek,34,2 Evli,3 Lise,9,3 Hemşire,3,1,1,1,1,3,1,1,1,1,1,1,1,2,1,2,2,1,2,3,3,5,3,2,3,4,1.3888888888888888,1.4,1.3333333333333333,1.4285714285714286,3.125
16,1 Erkek,34,3 Boşanmış,"4 Üniversite ",11,1 Biyolog,2,2,2,2,2,2,2,2,2,3,2,3,2,2,3,2,2,2,1,1,2,3,2,2,2,2,2.1666666666666665,2,2.1666666666666665,2.2857142857142856,1.875
17,2 Kadın,21,1 Bekar,"4 Üniversite ",1,3 Hemşire,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,5,5,5,5,1,5,1,5,1.1666666666666667,1.2,1.1666666666666667,1.1428571428571428,4
18,1 Erkek,32,2 Evli,"4 Üniversite ",11,3 Hemşire,4,3,3,2,2,5,2,2,3,3,3,4,4,4,4,4,4,4,2,1,4,2,5,2,4,1,3.3333333333333335,2.8,3,4,2.625
19,2 Kadın,39,3 Boşanmış,3 Lise,1.5,3 Hemşire,1,1,1,2,2,1,1,1,1,1,1,2,2,1,1,2,2,2,5,5,5,5,5,5,5,5,1.3888888888888888,1.4,1,1.7142857142857142,5
20,2 Kadın,23,1 Bekar,"4 Üniversite ",1,2 Hasta hizmetleri,4,3,1,1,2,4,1,3,1,2,3,5,5,5,5,5,3,3,2,5,4,4,3,2,2,3,3.111111111111111,2.2,2.3333333333333335,4.428571428571429,3.125
21,2 Kadın,23,1 Bekar,"4 Üniversite ",2,2 Hasta hizmetleri,3,3,2,3,2,3,2,2,3,3,4,2,2,2,3,3,4,3,2,3,2,2,3,3,4,3,2.7222222222222223,2.6,2.8333333333333335,2.7142857142857144,2.75
22,2 Kadın,22,1 Bekar,"4 Üniversite ",0.5,3 Hemşire,3,5,4,3,4,4,1,1,4,4,5,5,5,5,3,5,4,5,1,4,3,1,1,1,5,3,3.888888888888889,3.8,3.1666666666666665,4.571428571428571,2.375
23,2 Kadın,23,1 Bekar,"4 Üniversite ",1,3 Hemşire,2,3,3,2,2,3,1,1,1,3,3,3,1,3,3,3,2,3,4,5,5,5,5,3,5,4,2.3333333333333335,2.4,2,2.5714285714285716,4.5
24,1 Erkek,21,1 Bekar,"4 Üniversite ",1,3 Hemşire,3,2,3,4,3,3,3,3,4,2,2,3,4,3,3,4,4,3,1,3,1,3,3,1,2,3,3.111111111111111,3,2.8333333333333335,3.4285714285714284,2.125
25,2 Kadın,27,2 Evli,"4 Üniversite ",1,1 Biyolog,3,4,3,3,3,3,2,2,3,2,2,3,1,3,2,4,3,3,3,1,3,1,1,2,4,1,2.7222222222222223,3.2,2.3333333333333335,2.7142857142857144,2
26,1 Erkek,46,2 Evli,"4 Üniversite ",12,4 Doktor,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,5,5,3,5,5,5,4,5,1.0555555555555556,1,1,1.1428571428571428,4.625
27,2 Kadın,23,1 Bekar,"4 Üniversite ",0.5,3 Hemşire,3,4,4,3,3,4,4,5,3,3,5,5,1,2,1,1,4,2,3,3,3,3,4,2,3,2,3.1666666666666665,3.4,4,2.2857142857142856,2.875
28,1 Erkek,37,1 Bekar,3 Lise,6,2 Hasta hizmetleri,2,1,1,1,2,2,1,1,1,1,2,1,1,2,1,1,2,1,3,3,5,5,4,3,4,4,1.3333333333333333,1.4,1.3333333333333333,1.2857142857142858,3.875
29,2 Kadın,24,1 Bekar,"4 Üniversite ",2,3 Hemşire,2,1,1,2,2,2,2,1,1,2,1,2,2,2,2,2,5,2,3,3,3,3,3,3,4,2,1.8888888888888888,1.6,1.5,2.4285714285714284,3
30,2 Kadın,26,1 Bekar,"4 Üniversite ",3,2 Hasta hizmetleri,4,1,1,1,3,3,1,1,3,3,4,4,4,4,4,4,4,4,2,1,5,1,4,1,4,1,2.9444444444444446,2,2.5,4,2.375
31,2 Kadın,24,1 Bekar,"4 Üniversite ",3,3 Hemşire,3,3,3,2,2,4,3,3,3,3,3,3,3,2,4,3,2,3,3,1,3,1,5,1,5,1,2.888888888888889,2.6,3.1666666666666665,2.857142857142857,2.5
32,1 Erkek,30,1 Bekar,"4 Üniversite ",1,2 Hasta hizmetleri,1,1,1,4,4,4,2,3,4,2,2,3,3,3,2,4,4,3,2,3,4,4,4,3,4,4,2.7777777777777777,2.2,2.8333333333333335,3.142857142857143,3.5
33,2 Kadın,22,1 Bekar,"4 Üniversite ",1,1 Biyolog,3,3,3,2,2,4,3,3,1,1,4,3,3,4,4,4,4,4,3,4,2,3,4,3,3,3,3.0555555555555554,2.6,2.6666666666666665,3.7142857142857144,3.125
